		Freq	Parse-Seg	Parse-Syllable	FtBin	NonFinality	NonFinality-Foot	NonInitiality-Ft	WSP	Trochee	Iamb	All-Ft-L	All-Ft-R	Leftmost	Rightmost	Align-wd-L	Align-wd-R	Rh-Contour	Ident-Prom
		Freq	Parse-Seg	Parse-Syllable	FtBin	NonFinality	NonFinality-Foot	NonInitiality-Ft	WSP	Trochee	Iamb	All-Ft-L	All-Ft-R	Leftmost	Rightmost	Align-wd-L	Align-wd-R	Rh-Contour	Ident-Prom
/L1 V/	[L1 V] \-> (L1 V)	1					1	1			1								
	[L V1] \-> (L V1)					1	1	1		1								1	1
	[L1 V] \-> (L1) V			1	1								1		1		1		
	[L V1] \-> L (V1)			1	1	1	1					1		1		1			1
/L V1/	[L1 V] \-> (L1 V)						1	1			1								1
	[L V1] \-> (L V1)	1				1	1	1		1								1	
	[L1 V] \-> (L1) V			1	1								1		1		1		1
	[L V1] \-> L (V1)			1	1	1	1					1		1		1			
/L1 V:/	[L1 V:] \-> (L1 V:)	1					1	1	1		1								
	[L V:1] \-> (L V:1)					1	1	1		1									1
	[L1 V:] \-> (L1) V:			1	1			1	1				1		1		1		
	[L V:1] \-> L (V:1)			1		1	1					1		1		1			1
/L V:1/	[L1 V:] \-> (L1 V:)						1	1	1		1								1
	[L V:1] \-> (L V:1)	1				1	1	1		1									
	[L1 V:] \-> (L1) V:			1	1			1	1				1		1		1		1
	[L V:1] \-> L (V:1)			1		1	1					1		1		1			
/L1 VC/	[L1 VC] \-> (L1 VC)	1					1	1	1		1								
	[L1 VC] \-> (L1 V)C		1					1			1						1		
	[L V1C] \-> (L V1C)					1	1	1		1									1
	[L V1C] \-> (L V1)C		1			1		1		1								1	1
	[L1 VC] \-> (L1) VC			1	1			1	1				1		1		1		
	[L V1C) \-> L (V1C)			1		1	1					1		1		1			1
	[L V1C] \-> L (V1)C		1	1	1	1						1		1		1	1		1
/L V1C/	[L1 VC] \-> (L1 VC)						1	1	1		1								1
	[L1 VC] \-> (L1 V)C		1					1			1						1		1
	[L V1C] \-> (L V1C)					1	1	1		1									
	[L V1C] \-> (L V1)C		1			1		1		1							1	1	
	[L1 VC] \-> (L1) VC			1	1			1	1				1		1		1		1
	[L V1C) \-> L (V1C)	1		1		1	1					1		1		1			
	[L V1C] \-> L (V1)C		1	1	1	1						1		1		1			
/L1 V:C/	[L1 V:C] \-> (L1 V:C)	1					1	1	1		1								
	[L1 V:C] \-> (L1 V:)C		1					1	1		1						1		
	[L V:1C] \-> (L V:1C)					1	1	1		1									1
	[L V:1C] \-> (L V:1)C		1			1		1		1							1		1
	[L1 V:C] \-> (L1) V:C			1	1			1	1				1		1		1		
	[L V:1C] \-> L (V:1C)			1		1						1		1		1			1
	[L V:1C] \-> L (V:1)C		1	1		1	1					1		1		1			1
/L V:1C/	[L1 V:C] \-> (L1 V:C)						1	1	1		1								1
	[L1 V:C] \-> (L1 V:)C		1					1	1		1						1		1
	[L V:1C] \-> (L V:1C)					1	1	1		1									
	[L V:1C] \-> (L V:1)C		1			1		1		1							1		
	[L1 V:C] \-> (L1) V:1C			1	1			1	1				1		1		1		1
	[L V:1C] \-> L (V:1C)	1		1		1						1		1		1			
	[L V:1C] \-> L (V:1)C		1	1		1	1					1		1		1			
/H1 V/	[H1 V] \-> (H1 V)	1					1	1			1							1	
	[H V1] \-> (H V1)					1	1	1	1	1									1
	[H1 V] \-> (H1) V			1									1		1		1		
	[H V1] \-> H (V1)			1	1	1	1		1			1		1		1			1
/H V1/	[H1 V] \-> (H1 V)						1	1			1							1	1
	[H V1] \-> (H V1)	1				1	1	1	1	1									
	[H1 V] \-> (H1) V			1									1		1		1		1
	[H V1] \-> H (V1)			1	1	1	1		1			1		1		1			
/H1 V:/	[H1 V:] \-> (H1 V:)	1					1	1	1		1								
	[H V:1] \-> (H V:1)					1	1	1	1	1									1
	[H1 V:] \-> (H1) V:			1				1	1				1		1		1		
	[H V:1] \-> H (V:1)			1		1	1		1			1		1		1			1
/H V:1/	[H1 V:] \-> (H1 V:)						1	1	1		1								1
	[H V:1] \-> (H V:1)	1				1	1	1	1	1									
	[H1 V:] \-> (H1) V:			1				1	1				1		1		1		1
	[H V:1] \-> H (V:1)			1		1	1		1			1		1		1			
